model_name,suggestion_rank,suggestion_text,similarity
word2vec_stemmed_cbow_window2_dim100,3,avoid major sin immor angri forgiv,0.9501799941062927
word2vec_stemmed_cbow_window2_dim100,4,one fear bequeath error sin correct sin upon inde allah forgiv merci,0.9487671852111816
word2vec_stemmed_cbow_window2_dim100,5,say servant transgress sin despair merci allah inde allah forgiv sin inde forgiv merci,0.9487397074699402
word2vec_stemmed_cbow_window2_dim300,1,forgiv affection,0.9998317956924438
word2vec_stemmed_cbow_window2_dim300,2,merci unright sin iniqu rememb,0.9683813452720642
word2vec_stemmed_cbow_window2_dim300,3,avoid major sin immor angri forgiv,0.9625500440597534
word2vec_stemmed_cbow_window2_dim300,4,forgiv us debt forgiv debtor,0.9621069431304932
word2vec_stemmed_cbow_window2_dim300,5,one fear bequeath error sin correct sin upon inde allah forgiv merci,0.9595885276794434
word2vec_stemmed_cbow_window4_dim100,1,forgiv affection,0.9998745918273926
word2vec_stemmed_cbow_window4_dim100,2,say servant transgress sin despair merci allah inde allah forgiv sin inde forgiv merci,0.977222740650177
word2vec_stemmed_cbow_window4_dim100,3,degre high posit forgiv merci allah ever forgiv merci,0.9722639322280884
word2vec_stemmed_cbow_window4_dim100,4,ceas inde allah forgiv merci,0.961958646774292
word2vec_stemmed_cbow_window4_dim100,5,commit misde repent believ inde lord thereaft forgiv merci,0.9615178108215332
word2vec_stemmed_cbow_window4_dim300,1,forgiv affection,0.999779462814331
word2vec_stemmed_cbow_window4_dim300,2,say servant transgress sin despair merci allah inde allah forgiv sin inde forgiv merci,0.9785664677619934
word2vec_stemmed_cbow_window4_dim300,3,one fear bequeath error sin correct sin upon inde allah forgiv merci,0.9753673672676086
word2vec_stemmed_cbow_window4_dim300,4,degre high posit forgiv merci allah ever forgiv merci,0.9736555814743042
word2vec_stemmed_cbow_window4_dim300,5,merci unright sin iniqu rememb,0.9662551283836365
word2vec_stemmed_skipgram_window2_dim100,1,forgiv affection,0.9967995285987854
word2vec_stemmed_skipgram_window2_dim100,2,forgiv us debt forgiv debtor,0.94733726978302
word2vec_stemmed_skipgram_window2_dim100,3,avoid major sin immor angri forgiv,0.925973653793335
word2vec_stemmed_skipgram_window2_dim100,4,said ask forgiv lord inde forgiv merci,0.9115726947784424
word2vec_stemmed_skipgram_window2_dim100,5,degre high posit forgiv merci allah ever forgiv merci,0.9087493419647217
word2vec_stemmed_skipgram_window2_dim300,1,forgiv affection,0.9978411793708801
word2vec_stemmed_skipgram_window2_dim300,2,forgiv us debt forgiv debtor,0.9495154619216919
word2vec_stemmed_skipgram_window2_dim300,3,avoid major sin immor angri forgiv,0.9265240430831909
word2vec_stemmed_skipgram_window2_dim300,4,degre high posit forgiv merci allah ever forgiv merci,0.9180294275283813
word2vec_stemmed_skipgram_window2_dim300,5,said ask forgiv lord inde ever perpetu forgiv,0.9179392457008362
word2vec_stemmed_skipgram_window4_dim100,1,forgiv affection,0.9944008588790894
word2vec_stemmed_skipgram_window4_dim100,2,forgiv us debt forgiv debtor,0.9402092695236206
word2vec_stemmed_skipgram_window4_dim100,3,repent allah seek forgiv allah forgiv merci,0.9149746894836426
word2vec_stemmed_skipgram_window4_dim100,4,said ask forgiv lord inde forgiv merci,0.9125416874885559
word2vec_stemmed_skipgram_window4_dim100,5,say servant transgress sin despair merci allah inde allah forgiv sin inde forgiv merci,0.910313069820404
word2vec_stemmed_skipgram_window4_dim300,1,forgiv affection,0.9936547875404358
word2vec_stemmed_skipgram_window4_dim300,2,forgiv us debt forgiv debtor,0.9418049454689026
word2vec_stemmed_skipgram_window4_dim300,3,repent allah seek forgiv allah forgiv merci,0.9204148650169373
word2vec_stemmed_skipgram_window4_dim300,4,say servant transgress sin despair merci allah inde allah forgiv sin inde forgiv merci,0.9171860814094543
word2vec_stemmed_skipgram_window4_dim300,5,said ask forgiv lord inde forgiv merci,0.914216160774231
